OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1306737,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 00:00:00+00,Restaurant,92,-78.66755526,35.73521897,M
1306738,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Restaurant,96,-78.82726689,35.7464159,M
1306739,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 00:00:00+00,Restaurant,97,-78.63957991,35.77810063,M
1306740,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 00:00:00+00,Restaurant,98,-78.55981965,35.9407555,M
1306741,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016/04/15 00:00:00+00,Food Stand,105,-78.73871452,35.76064286,M
1306742,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015/10/21 00:00:00+00,Food Stand,119,-78.66044244,35.88617531,T
1306743,04092017188,CHAMPA THAI & SUSHI,8521 BRIER CREEK  PKY ,STE 119,RALEIGH,NC,27617,(919) 806-0078,2016/03/31 00:00:00+00,Restaurant,123,-78.78334742,35.90685073,M
1306744,04092160080,ZEBULON REHABILITATION CENTER FOOD SERVICE,509 W GANNON AVE.,,ZEBULON,NC,27597,,2014/06/04 00:00:00+00,Institutional Food Service,140,-78.32569568,35.81964939,M
1306745,04092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 858-6501,2015/04/08 00:00:00+00,Restaurant,143,-78.68893912,35.78436913,M
1306746,04092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 388-3500,2012/04/19 00:00:00+00,Restaurant,145,-78.81676023,35.80454378,M
1306747,04092022031,CARVEL,5959 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 449-0072,2017/08/30 00:00:00+00,Food Stand,146,-78.57603863,35.86599856,M
1306748,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016/04/05 00:00:00+00,Restaurant,152,-78.62166097,35.89510574,M
1306749,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 00:00:00+00,Restaurant,167,-78.62166097,35.89510574,M
1306750,04092025275,LOVE BAO TAIWANESE KITCHEN,1961 High House RD ,,CARY,NC,27519,(919) 622-3586,2019/07/22 00:00:00+00,Food Stand,202,-78.84865444,35.78921622,M
1306751,04092018483,LoneRider at Five Points,1626 Glenwood Ave ,,RALEIGH,NC,27608,(919) 322-2434,2020/11/10 00:00:00+00,Restaurant,207,-78.64536523,35.80340045,M
1306752,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 00:00:00+00,Restaurant,220,-78.76305622,35.79140272,M
1306753,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 00:00:00+00,Private School Lunchrooms,223,-78.62608851,35.88760817,M
1306754,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 00:00:00+00,Restaurant,224,-78.6456917,35.77945516,M
1306755,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 00:00:00+00,Restaurant,25,-78.54049905,35.87559319,M
1306756,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 00:00:00+00,Restaurant,225,-78.58356211,35.69799194,M
1306757,04092016397,GINO'S PIZZA,6260 GLENWOOD AVE ,STE 126,RALEIGH,NC,27612-2650,(919) 783-7555,2013/04/04 00:00:00+00,Restaurant,233,-78.70313649,35.85876954,M
1306758,04092014520,El Tapatio #4,4511 New Bern AVE,,RALEIGH,NC,27610,(919) 255-9161,2006/03/09 00:00:00+00,Restaurant,238,-78.55938498,35.79875761,M
1306759,04092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 371-2693,2014/11/13 00:00:00+00,Restaurant,239,-78.88824644,35.84415135,M
1306760,04092016265,ACRO CAFE,11 W JONES ST ,,RALEIGH,NC,27601,(919) 733-7450,2012/09/14 00:00:00+00,Restaurant,254,-78.63943083,35.78220511,M
1306761,04092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 790-6409,2009/09/04 00:00:00+00,Restaurant,257,-78.61557526,35.84978294,M
1306762,04092025272,Harris Teeter #496 Meat/Seafood,940 US 64 HWY W,,APEX,NC,27523-7184,,2019/07/15 00:00:00+00,Food Stand,261,-78.82197042,35.74562504,M
1306763,04092015443,MoonRunners Saloon,1506 US 70 HWY W ,,GARNER,NC,27529,(919) 662-5119,2009/08/12 00:00:00+00,Restaurant,262,-78.64623771,35.72377782,M
1306764,04092016808,HARRIS TEETER #257 STARBUCKS,2080 KILDAIRE FARM ROAD,,CARY,NC,27518,(919) 233-9483,2014/11/10 00:00:00+00,Restaurant,269,-78.78068706,35.73567462,M
1306765,04092021892,FOOD LION #815 PRODUCE,2837 WENDELL BLVD ,,WENDELL,NC,27591,(919) 365-3002,2015/10/21 00:00:00+00,Food Stand,273,-78.38037181,35.79568777,M
1306766,04092015915,SUBWAY #50592,601 N MAIN ST ,,HOLLY SPRINGS,NC,27545,(919) 557-4411,2011/03/17 00:00:00+00,Restaurant,278,-78.83661982,35.66097455,M
1306767,04092016809,NIGHT KITCHEN BAKERY,10 W. FRANKLIN STREET,,RALEIGH,NC,27604,(984) 232-8907,2014/11/10 00:00:00+00,Restaurant,280,-78.64017516,35.78944175,M
1306768,04092021936,CIRCLE K #3146,1720  N MAIN ST ,,FUQUAY VARINA,NC,27526,,2016/02/25 00:00:00+00,Food Stand,284,-78.75810908,35.59678082,M
1306769,04092017191,TAMARIND,8531-109 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 406-3473,2016/03/31 00:00:00+00,Restaurant,28,-78.78606215,35.90557616,M
1306770,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,61,-78.63887103,35.83819686,M
1306771,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 00:00:00+00,Restaurant,91,-78.61376,35.75438832,M
1306772,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 00:00:00+00,Restaurant,148,-78.51125194,35.89400635,M
1306773,04092016163,FLYING BURRITO,4800 GROVE BARTON RD ,,RALEIGH,NC,27613,(919) 785-2734,2012/04/18 00:00:00+00,Restaurant,290,-78.71583123,35.87110639,M
1306774,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 00:00:00+00,Restaurant,306,-78.84948074,35.66266499,M
1306775,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018/08/03 00:00:00+00,Private School Lunchrooms,308,-78.67165429,35.70444604,M
1306776,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 00:00:00+00,Restaurant,325,-78.67445032,35.78959693,M
1306777,04092017190,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE ,,RALEIGH,NC,27601,(919) 821-7646,2016/03/28 00:00:00+00,Restaurant,327,-78.61949307,35.78808582,M
1306778,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 00:00:00+00,Restaurant,333,-78.54504471,35.96485726,M
1306779,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 00:00:00+00,Restaurant,337,-78.537511,35.87630713,M
1306780,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 00:00:00+00,Restaurant,339,-78.64931864,35.78886208,M
1306781,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 00:00:00+00,Restaurant,340,-78.77734174,35.78786553,M
1306782,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 00:00:00+00,Restaurant,331,-78.62699406,35.77656647,M
1306783,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 00:00:00+00,Restaurant,343,-78.78193974,35.75976658,M
1306784,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 00:00:00+00,Restaurant,344,-78.58054205,35.69110315,M
1306785,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 00:00:00+00,Food Stand,345,-78.63544584,35.77685868,M
1306786,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 00:00:00+00,Mobile Food Units,348,-78.32392727,35.83867806,M
1306787,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,349,-78.82726689,35.7464159,M
1306788,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 00:00:00+00,Restaurant,352,-78.84948074,35.66266499,M
1306789,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 00:00:00+00,Food Stand,363,-78.78213078,35.7627377,M
1306790,04092014473,Mackey's Pub,2101 S Main  ST ,STE 112,WAKE FOREST ,NC,27587,(919) 562-5570,2006/01/20 00:00:00+00,Restaurant,365,-78.53310077,35.94802112,M
1306791,04092025338,Lowes Foods #262 Meat/Seafood,687 MILLS PARK DR,,CARY,NC,27519,,2021/02/16 00:00:00+00,Food Stand,366,-78.89712096,35.80863645,M
1306792,04092300278,GRAND ASIA MEAT MARKET,1253 BUCK JONES RD ,,RALEIGH,NC,27606-3326,(919) 468-2988,2017/02/22 00:00:00+00,Meat Market,367,-78.74067496,35.76583498,M
1306793,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 00:00:00+00,Restaurant,374,-78.68223183,35.90105252,M
1306794,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 00:00:00+00,Food Stand,380,-78.59988229,35.89223772,M
1306795,04092021710,FIRE WOK,442 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 821-8089,2012/06/08 00:00:00+00,Food Stand,408,-78.63936414,35.77440995,M
1306796,04092030521,Abbey on the Road (WCID #812),1195 W CHATHAM ST,,CARY,NC,27513-5257,(919) 481-4434,2021/02/11 00:00:00+00,Mobile Food Units,411,-78.80690314,35.77079471,M
1306797,04092017895,Anjappar,101 Ledgestone WAY ,,CARY,NC,27519,,2018/07/26 00:00:00+00,Restaurant,419,-78.84803797,35.79230683,M
1306798,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 00:00:00+00,Restaurant,426,-78.52999701,35.94975468,M
1306799,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 00:00:00+00,Restaurant,428,-78.84707532,35.82315923,M
1306800,04092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,STE 153,RALEIGH,NC,27613,(919) 615-1703,2012/09/11 00:00:00+00,Restaurant,429,-78.68248786,35.89850336,M
1306801,04092030454,Capones Chicago Eats  (WCID #750),8101 Holly Springs RD ,M-Sat 11-2,Raleigh ,NC,27606,(919) 757-9514,2019/12/09 00:00:00+00,Pushcarts,441,-78.76164101,35.70858774,M
1306802,04092030437,Captain John's Seafood (WCID #730),308 Southtown Circle,,ROLESVILLE,NC,27591,(919) 717-7598,2019/08/08 00:00:00+00,Mobile Food Units,444,-78.47039569,35.91648377,M
1306803,04092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 803-8112,2009/09/24 00:00:00+00,Restaurant,445,-78.65307339,35.72039578,M
1306804,04092025263,Oriental Pho,5959 TRIANGLE TOWN BLVD,1116,RALEIGH,NC,27616,(919) 449-0807,2019/06/12 00:00:00+00,Restaurant,453,-78.57603863,35.86599856,M
1306805,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 00:00:00+00,Restaurant,455,-78.62038753,35.82333592,M
1306806,04092030223,Valentino's (WCID 378),4820 Signett DR ,,RALEIGH,NC,27615,(919) 376-5814,2010/07/09 00:00:00+00,Mobile Food Units,456,-78.58339304,35.85150753,M
1306807,04092021893,FOOD LION #1654 PRODUCE,7440 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 875-1394,2015/10/21 00:00:00+00,Food Stand,472,-78.53977,35.87454018,M
1306808,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,463,-78.63887103,35.83819686,M
1306809,04092021894,FOOD LION #2534 PRODUCE,13200 NEW FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 562-8912,2015/10/21 00:00:00+00,Food Stand,473,-78.55981965,35.9407555,M
1306810,04092021901,FOOD LION #723 PRODUCE,7053 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 266-5164,2015/10/27 00:00:00+00,Food Stand,474,-78.4900383,35.7998273,M
1306811,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017/03/09 00:00:00+00,Restaurant,487,-78.4899936,35.79638702,M
1306812,04092025265,Mama Crow's,500 E Davie  ST ,STE 116,RALEIGH,NC,27601,,2019/06/18 00:00:00+00,Food Stand,489,-78.63206132,35.77487463,M
1306813,04092016118,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 876-4545,2012/03/01 00:00:00+00,Restaurant,495,-78.62251606,35.86922851,M
1306814,04092015464,POLAR ICE HOUSE,1410 BUCK JONES RD ,,RALEIGH,NC,27606,(919) 460-2756,2009/09/11 00:00:00+00,Restaurant,501,-78.74547814,35.76540093,M
1306815,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015/10/02 00:00:00+00,Food Stand,507,-78.65568292,35.90277448,M
1306816,04092018427,El Mandado Supermarket & Taqueria,2950 E MILLBROOK RD,,RALEIGH,NC,27604,(919) 878-1800,2020/08/30 00:00:00+00,Restaurant,513,-78.58256656,35.84852909,M
1306817,04092015942,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY ,,CARY,NC,27519,(919) 388-9977,2011/05/18 00:00:00+00,Restaurant,533,-78.84859346,35.79156535,M
1306818,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,Food Stand,569,-78.83920922,35.63987917,M
1306819,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 00:00:00+00,Restaurant,570,-78.64681795,35.78777191,M
1306820,04092021744,LITTLE TOKYO,5959 TRIANGLE TOWN BLVD ,FC 1132,RALEIGH,NC,27616,(919) 792-0111,2013/05/28 00:00:00+00,Food Stand,571,-78.57603863,35.86599856,M
1306821,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018/07/26 00:00:00+00,Restaurant,583,-78.48704631,35.79788571,M
1306822,04092030290,TAQUERIA LA COSTENA (WCID #537),3905 GREEN LEVEL WEST RD ,"corner of Green Level West Rd &amp; Autumn Shade Dr",APEX,NC,27523,(919) 244-0786,2015/10/09 00:00:00+00,Mobile Food Units,584,-78.9125522,35.774781,M
1306823,04092014980,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD ,,MORRISVILLE,NC,27560,(919) 465-1910 ext. 101,2007/10/17 00:00:00+00,Restaurant,602,-78.82187156,35.85658845,M
1306824,04092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 567-8272,2012/01/31 00:00:00+00,Restaurant,605,-78.7258865,35.62516136,M
1306825,04092015546,HAYASHI JAPANESE RESTAURANT,13200 NEW FALLS OF NUESE RD ,STE 105,RALEIGH,NC,27614,(919) 554-0508,2010/01/05 00:00:00+00,Restaurant,616,-78.55981965,35.9407555,M
1306826,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,Food Stand,623,-78.83920922,35.63987917,M
1306827,04092021897,FOOD LION #1482 PRODUCE,5426 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 676-3386,2015/10/22 00:00:00+00,Food Stand,632,-78.64059702,35.85499105,M
1306828,04092021403,Harris Teeter #283 Produce ,8101 Fayetteville  RD ,,FUQUAY VARINA ,NC,27603,(919) 772-0241,2006/08/16 00:00:00+00,Food Stand,515,-78.70123204,35.66365888,M
1306829,04092021900,FOOD LION #90 PRODUCE,4317 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 872-5376,2015/10/22 00:00:00+00,Food Stand,635,-78.61339277,35.84095998,M
1306830,04092014480,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,,RALEIGH,NC,27603,(919) 755-0226,2006/01/10 00:00:00+00,Restaurant,637,-78.67644314,35.74808355,M
1306831,04092018250,Pizza Hut #036586,3691 New Bern AVE ,,RALEIGH,NC,27610,(919) 900-8096,2019/12/03 00:00:00+00,Restaurant,638,-78.57923704,35.79885313,M
1306832,04092018318,TASU #2,525 NEW WAVERLY  PL ,SUITE 103,CARY,NC,27518,(919) 977-4037,2020/02/11 00:00:00+00,Restaurant,659,-78.77756307,35.73853619,M
1306833,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017/02/22 00:00:00+00,Restaurant,664,-78.60826495,35.83722719,M
1306834,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015/10/09 00:00:00+00,Food Stand,674,-78.87770701,35.75964934,M
1306835,04092016622,WINGIN'IT BAR AND GRILLE,1625 N MAIN ST ,STE 109,FUQUAY VARINA,NC,27526,,2014/02/28 00:00:00+00,Restaurant,680,-78.76145615,35.59674702,M
1306836,04092021725,MCDONALDS #10267,4325-2051 GLENWOOD AVE ,,RALEIGH,NC,27624,(919) 782-8240,2012/11/19 00:00:00+00,Food Stand,527,-78.67658819,35.8395892,M
1306837,04092016471,Jaipur Indian Cuisine,1520 BLUE RIDGE RD,,RALEIGH,NC,27607-3906,(919) 832-4100 ext. 7722,2013/08/05 00:00:00+00,Restaurant,681,-78.70563279,35.80134843,M
1306838,04092016497,RALEIGH CRABTREE MARRIOTT FOODSERVICE,4500 MARRIOTT DR ,,RALEIGH,NC,27612-3365,(919) 781-7000,2013/10/03 00:00:00+00,Restaurant,683,-78.67772751,35.84277362,M
1306839,04092030438,Jerk Man Island Cuisine (WCID #732),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 943-7074,2019/08/21 00:00:00+00,Mobile Food Units,633,-78.64171063,35.75324624,M
1306840,04092018387,Dunkin #358642,1500 DUNN RD,,RALEIGH,NC,27614,,2020/06/23 00:00:00+00,Restaurant,686,-78.58619433,35.92539994,M
1306841,04092017043,BALI-HAI,1571 US 70 HWY W ,,GARNER,NC,27529,(984) 200-5100,2015/09/26 00:00:00+00,Restaurant,693,-78.64815188,35.72323377,M
1306842,04092014860,Jersey Mike's #3042,7949 Fayetteville RD,,RALEIGH,NC,27603,(919) 661-0111,2007/04/24 00:00:00+00,Restaurant,695,-78.69742539,35.66508155,M
1306843,04092017051,JERSEY MIKE'S #349,3201-139 EDWARDS MILL RD ,,RALEIGH,NC,27612,(984) 202-5627,2015/10/09 00:00:00+00,Restaurant,646,-78.70556784,35.82545067,M
1306844,04092025319,Satori Meals @ TKA,2201 S Wilmington ST ,,RALEIGH,NC,27603,(919) 592-2330,2020/09/01 00:00:00+00,Food Stand,697,-78.63902655,35.752054,M
1306845,04092021447,Hungry Howie's Pizza,1814-106 Oberlin RD ,,RALEIGH,NC,27608,(919) 789-0001,2007/05/04 00:00:00+00,Food Stand,650,-78.65535151,35.80875926,M
1306846,04092021659,WHOLE FOODS #10338 PRODUCE,8710 SIX FORKS  RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 00:00:00+00,Food Stand,700,-78.65023656,35.89889154,M
1306847,04092300243,HARRIS TEETER #311 MEAT MARKET,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27502,(919) 552-1596,2009/09/10 00:00:00+00,Meat Market,701,-78.83920922,35.63987917,M
1306848,04092015515,CAJUN CRAB HOUSE,6204-120 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 781-7599,2009/11/10 00:00:00+00,Restaurant,652,-78.70283224,35.85653115,M
1306849,04092015101,Michelangelos,7280 GB Alford  HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-4992,2008/03/26 00:00:00+00,Restaurant,720,-78.83292783,35.63500069,M
1306850,04092015471,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,,HOLLY SPRING,NC,27540,(919) 567-0060,2009/09/02 00:00:00+00,Restaurant,730,-78.83457704,35.6392159,M
1306851,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015/10/06 00:00:00+00,Food Stand,667,-78.54967347,35.79198567,M
1306852,04092025298,Pizza Hut Delivery #036624,4011 Capital BLVD ,,RALEIGH,NC,27604,(919) 790-8111,2019/12/03 00:00:00+00,Food Stand,731,-78.58372976,35.83623733,M
1306853,04092014554,KFC #J120103,1403 W Williams ST,,APEX,NC,27502,(919) 303-7997,2006/04/25 00:00:00+00,Restaurant,737,-78.87726967,35.7501529,M
1306854,04092018513,Another Broken Egg,1211 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 465-1079,2020/12/29 00:00:00+00,Restaurant,708,-78.81477941,35.8080269,M
1306855,04092021670,DOMINO'S #5504,7315 SIX FORKS RD,,RALEIGH,NC,27615-6162,(919) 847-8855,2011/04/27 00:00:00+00,Food Stand,738,-78.64725808,35.88069032,M
1306856,04092015548,Rudinos's Pizza & Grinders Sports Corner,3101-101 EDWARDS MILL RD ,,RALEIGH,NC,27612,(919) 786-4235,2009/12/30 00:00:00+00,Restaurant,724,-78.70695216,35.82399087,M
1306857,04092016683,ROLY POLY,4040 ED DR ,,RALEIGH,NC,27612,(919) 785-0441,2014/05/13 00:00:00+00,Restaurant,740,-78.70319672,35.82518153,M
1306858,04092018251,Pizza Hut #036631,1805 Aversboro RD ,,GARNER,NC,27529,(919) 779-9200,2019/12/03 00:00:00+00,Restaurant,741,-78.61707161,35.6858565,M
1306859,04092016747,SMITHFIELD'S CHICKEN N BAR-B-Q,3578 DAVIS  DR ,,MORRISVILLE,NC,27560,(919) 468-2607,2014/09/11 00:00:00+00,Restaurant,743,-78.84697957,35.81858861,M
1306860,04092021426,Speedway #6959,2808 US 70 HWY E ,,CLAYTON,NC,27520-9321,(919) 553-3535,2006/12/21 00:00:00+00,Food Stand,757,-78.52023463,35.67517694,M
1306861,04092021961,PUBLIX #1520 MEAT/SEAFOOD,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 00:00:00+00,Food Stand,789,-78.79652253,35.70711378,M
